FROMDATE,TODATE,DAYPART,CHANNEL,PIVOT_SEQ,PIVOT_HDR1,PIVOT_DATA1
9/7/2014,9/13/2014,DayPart 2,Star Plus,1,DayPart 1:Z Zee TV,8355
9/7/2014,9/13/2014,DayPart 2,Star Plus,2,DayPart 1:Star Plus,28713
9/7/2014,9/13/2014,DayPart 2,Star Plus,3,DayPart 1:SONY ENTERTAINMENT TV,3677
9/7/2014,9/13/2014,DayPart 2,Star Plus,4,DayPart 1:Colors Viacom18,7936
9/7/2014,9/13/2014,DayPart 2,Star Plus,5,DayPart 2:Z Zee TV,11843
9/7/2014,9/13/2014,DayPart 2,Star Plus,6,DayPart 2:Star Plus,35631
9/7/2014,9/13/2014,DayPart 2,Star Plus,7,DayPart 2:SONY ENTERTAINMENT TV,4481
9/7/2014,9/13/2014,DayPart 2,Star Plus,8,DayPart 2:Colors Viacom18,13983
9/7/2014,9/13/2014,DayPart 2,Star Plus,9,DayPart 3:Z Zee TV,13048
9/7/2014,9/13/2014,DayPart 2,Star Plus,10,DayPart 3:Star Plus,17550
9/7/2014,9/13/2014,DayPart 2,Star Plus,11,DayPart 3:SONY ENTERTAINMENT TV,5294
9/7/2014,9/13/2014,DayPart 2,Star Plus,12,DayPart 3:Colors Viacom18,12165
9/7/2014,9/13/2014,DayPart 2,Star Plus,13,DayPart 4:Z Zee TV,13770
9/7/2014,9/13/2014,DayPart 2,Star Plus,14,DayPart 4:Star Plus,15414
9/7/2014,9/13/2014,DayPart 2,Star Plus,15,DayPart 4:SONY ENTERTAINMENT TV,7400
9/7/2014,9/13/2014,DayPart 2,Star Plus,16,DayPart 4:Colors Viacom18,9225
9/7/2014,9/13/2014,DayPart 2,Star Plus,17,DayPart 5:Z Zee TV,12849
9/7/2014,9/13/2014,DayPart 2,Star Plus,18,DayPart 5:Star Plus,17488
9/7/2014,9/13/2014,DayPart 2,Star Plus,19,DayPart 5:SONY ENTERTAINMENT TV,8202
9/7/2014,9/13/2014,DayPart 2,Star Plus,20,DayPart 5:Colors Viacom18,8241
9/7/2014,9/13/2014,DayPart 2,Star Plus,21,DayPart 6:Z Zee TV,11418
9/7/2014,9/13/2014,DayPart 2,Star Plus,22,DayPart 6:Star Plus,15926
9/7/2014,9/13/2014,DayPart 2,Star Plus,23,DayPart 6:SONY ENTERTAINMENT TV,5990
9/7/2014,9/13/2014,DayPart 2,Star Plus,24,DayPart 6:Colors Viacom18,6119
9/7/2014,9/13/2014,DayPart 2,Star Plus,25,DayPart 7:Z Zee TV,7381
9/7/2014,9/13/2014,DayPart 2,Star Plus,26,DayPart 7:Star Plus,12804
9/7/2014,9/13/2014,DayPart 2,Star Plus,27,DayPart 7:SONY ENTERTAINMENT TV,5014
9/7/2014,9/13/2014,DayPart 2,Star Plus,28,DayPart 7:Colors Viacom18,6301
9/7/2014,9/13/2014,DayPart 2,Star Plus,29,DayPart 8:Z Zee TV,6317
