NUM_MARKET_KEY,CHV_MARKET_NAME,NUM_START_DATE_KEY,NUM_END_DATE_KEY,NUM_WEEK,NUM_V_CS_4,TVR_NUM_V_CS_4,NUM_V_M_CS_4_14,TVR_NUM_V_M_CS_4_14,NUM_V_F_CS_4_14,TVR_NUM_V_F_CS_4_14,NUM_V_M_CS_15_24,TVR_NUM_V_M_CS_15_24,NUM_V_F_CS_15_24,TVR_NUM_V_F_CS_15_24,NUM_V_M_CS_25_34,TVR_NUM_V_M_CS_25_34,NUM_V_F_CS_25_34,TVR_NUM_V_F_CS_25_34,NUM_V_M_CS_35_44,TVR_NUM_V_M_CS_35_44,NUM_V_F_CS_35_44,TVR_NUM_V_F_CS_35_44,NUM_V_M_CS_45_54,TVR_NUM_V_M_CS_45_54,NUM_V_F_CS_45_54,TVR_NUM_V_F_CS_45_54,NUM_V_M_CS_55,TVR_NUM_V_M_CS_55,NUM_V_F_CS_55,TVR_NUM_V_F_CS_55,NUM_V_CS_ANALOG,TVR_NUM_V_CS_ANALOG,NUM_V_CS_DIGITAL,TVR_NUM_V_CS_DIGITAL,NUM_V_S_SEC_A,TVR_NUM_V_CS_SEC_A,NUM_V_S_SEC_B,TVR_NUM_V_CS_SEC_B,NUM_V_S_SEC_C,TVR_NUM_V_CS_SEC_C,NUM_V_S_SEC_DE,TVR_NUM_V_CS_SEC_DE
14, Jharkhand .5Mn.+(WEF 3rd April 2011) ,20141221,20141227,52,301,3161.487964,43,3048.101265,27,2621.965317,37,2714.41048,29,2849.122807,28,3808.906882,29,3406.993006,33,3758.644067,0,0,0,0,0,0,0,0,0,0,186,3059.030837,114,3313.494809,66,3004.878048,85,2884.848484,54,3672.874493,96,3301.535312
15, KAR .1 to 1 Mn. ,20141221,20141227,52,954,4559.010098,94,3331.645569,85,3743.119266,111,4818.604651,99,4538.062755,72,3809.763779,90,4807.63116,80,5768.240343,91,6240,69,5429.508196,56,5566.863905,49,4035.294117,57,4570.883054,654,4821.061869,300,4076.021027,99,4594.475138,189,3932.136222,264,4228.026692,401,5194.140323
16, Kerala .1 to 1 Mn. ,20141221,20141227,52,426,3411.248808,49,3957.692307,51,4262.686567,33,2941.114058,0,0,0,0,38,3690.17341,0,0,29,3205.263157,29,3035.514018,0,0,41,3409.90099,55,3898.734177,240,3080.213903,185,3939.163498,28,2450,67,3777.181208,101,3527.650727,229,3412.150776
17, Kerala 1 Mn.+ ,20141221,20141227,52,136,3446.153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3952.941176,13,4044.444444,80,3472.868217,56,3408.695652,19,2875.675675,24,3460.944206,42,3581.725888,51,3592.45283
18, MAH .1 to 1 Mn. ,20141221,20141227,52,1102,3791.051499,130,3670.588235,146,3859.63808,137,3820.082987,111,4233.371169,106,3421.325648,108,4036.484983,68,3168.932038,78,4360.732113,63,4118.287937,40,4060.42296,58,3443.10954,58,3556.204379,390,3673.675357,713,3863.376874,120,3313.064913,281,3728.909952,287,4002.988792,414,3854.364089
19, MAHA L C I ,20141221,20141227,52,999,3614.731854,128,3602.01005,109,3601.179941,106,3821.459227,116,3836.220472,104,3067.954345,95,3822.754491,58,3360,71,4298.378378,63,4039.694656,56,3863.65503,51,3197.014925,42,2983.509513,609,3586.119873,390,3660.335195,88,3462.295081,229,3851.051051,297,3816.137667,386,3396.07227
20, MAHrest 1 Mn.+ (Including Pune) ,20141221,20141227,52,1050,3963.154347,126,4242.084168,104,3848.458149,127,3613.209144,107,4389.743589,94,3328.134878,107,4368.408262,71,3786.666666,82,4143.157894,60,3658.802177,68,5010.526315,59,3849.320388,46,3788.235294,0,0,1050,3963.154347,231,4029.906542,198,3795.094124,276,4112.461197,345,3905.660377
21, MP .1 to 1 Mn. ,20141221,20141227,52,470,3180.664652,90,3886.88946,61,3187.55832,52,2840.975609,50,3708.609271,27,2090.32258,51,3607.578947,26,2554.385964,29,3133.118971,0,0,0,0,0,0,25,3268.48249,303,3151.950464,167,3235.986159,59,3151.669316,95,3237.322515,51,2616.183206,265,3303.896103
22, MP 1 Mn.+ ,20141221,20141227,52,482,3620.657276,73,3796.904024,0,0,57,3371.830985,62,4133.333333,39,3284.210526,32,2778.294573,26,3076.056338,38,4357.67918,29,3348.453608,0,0,0,0,0,0,0,0,482,3620.657276,98,3771.821305,92,3109.859154,115,3942.857142,178,3678.228782
23, Orissa .1 to 1 Mn. ,20141221,20141227,52,358,3885.271317,46,3611.214953,0,0,40,3733.333333,0,0,43,3685.714285,33,4297.674418,23,3496.832579,36,4652.307692,0,0,0,0,0,0,0,0,228,3506.086956,130,4794.731064,88,4230.042918,92,3649.586776,67,4005.69395,111,3774.898785
