RCLNT,RYEAR,DOCNR,RLDNR,RBUKRS,DOCLN,ACTIV,RMVCT,RTCUR,RUNIT,AWTYP,RRCTY,RVERS,LOGSYS,RACCT,COST_ELEM,RCNTR,PRCTR,RFAREA,RBUSA,KOKRS,SEGMENT,ZZZONE,SCNTR,PPRCTR,SFAREA,SBUSA,RASSC,PSEGMENT,TSL,HSL,KSL,OSL,MSL,WSL,DRCRK,POPER,RWCUR,GJAHR,BUDAT,BELNR,BUZEI,BSCHL,BSTAT,LINETYPE,XSPLITMOD,USNAM,KUNNR
300,2014,200000962,0L,2000,6,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-101985.41,-101985.41,-6278926.13,0,0,-101985.41,H,9,USD,2014,00:00.0,200000962,4,17,,2000,X,20100028,1700381
300,2014,200000962,0L,2000,7,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,15298.52,15298.52,941882.79,0,0,15298.52,S,9,USD,2014,00:00.0,200000962,4,7,,2000,X,20100028,1700381
300,2014,200000963,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M02,,1000,1000,,,,,,,,,-9436.12,-9436.12,-602496.18,0,0,-9436.12,H,9,USD,2014,00:00.0,200000963,1,17,,2000,X,20100028,1700399
300,2014,200000963,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,1415.42,1415.42,90374.48,0,0,1415.42,S,9,USD,2014,00:00.0,200000963,1,7,,2000,X,20100028,1700399
300,2014,200000963,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M02,,1000,1000,,,,,,,,,-38636.06,-38636.06,-2390752.95,0,0,-38636.06,H,9,USD,2014,00:00.0,200000963,3,17,,2000,X,20100028,1700399
300,2014,200000963,0L,2000,5,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,5795,5795,358587.91,0,0,5795,S,9,USD,2014,00:00.0,200000963,3,7,,2000,X,20100028,1700399
300,2014,200000964,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20005M03,,1000,1000,,,,,,,,,-10000,-10000,-625000,0,0,-10000,H,9,USD,2014,00:00.0,200000964,2,17,,2000,X,20000003,1302132
300,2014,200000965,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20005M03,,1000,1000,,,,,,,,,-33962,-33962,-2102173.7,0,0,-33962,H,9,USD,2014,00:00.0,200000965,2,17,,2000,X,20000003,1302035
300,2014,200000966,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20005M03,,1000,1000,,,,,,,,,-27070.68,-27070.68,-1691917.5,0,0,-27070.68,H,9,USD,2014,00:00.0,200000966,2,17,,2000,X,20000003,1301950
300,2014,200000967,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20005M03,,1000,1000,,,,,,,,,-40100,-40100,-2498230,0,0,-40100,H,9,USD,2014,00:00.0,200000967,2,17,,2000,X,20000003,1302213
300,2014,200000968,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20005M03,,1000,1000,,,,,,,,,-76372.44,-76372.44,-4876380.3,0,0,-76372.44,H,9,USD,2014,00:00.0,200000968,2,17,,2000,X,20000003,1700560
300,2014,200000969,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20009M01,,1000,1000,,,,,,,,,-10140,-10140,-626145,0,0,-10140,H,9,USD,2014,00:00.0,200000969,2,17,,2000,X,10100858,1302137
300,2014,200000970,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225010,,,20009M01,,1000,1000,,,,,,,,,-20210,-20210,-1290408.5,0,0,-20210,H,9,USD,2014,00:00.0,200000970,1,17,,2000,X,10100858,1302139
300,2014,200000970,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225010,,,20009M01,,1000,1000,,,,,,,,,-2340,-2340,-144495,0,0,-2340,H,9,USD,2014,00:00.0,200000970,3,17,,2000,X,10100858,1302139
